id,reg_eudra_nr,start_date,first_reg_date,reg_eudra_prospective
NCT01471782,2010-024264-18,2012-01-01,2011-08-01,1
NCT02138552,2013-002708-14,2013-10-01,2013-07-23,1
NCT01303952,2009-016966-97,2011-01-01,2010-02-08,1
NCT01197885,2009-017365-36,2010-09-01,2010-02-19,1
NCT01051167,2007-000460-24,2009-02-01,2008-11-21,1
NCT00822393,2008-002356-18,2008-11-24,2008-06-27,1
NCT00554164,2006-001641-33,2007-11-01,2007-04-25,1
NCT02035709,2013-002875-16,2013-12-01,NA,NA
NCT01835678,2012-002278-30,2012-10-01,2012-06-14,1
NCT00724022,2007-006516-31,2008-06-01,2008-03-17,1
NCT01279577,2006-000720-13,2010-11-01,2010-01-29,1
NCT01466179,2011-002257-61,2011-12-01,2011-08-01,1
NCT02134457,2013-002539-13,2014-08-01,2013-12-30,1
NCT01853384,2012-003286-18,2013-11-01,2013-06-07,1
NCT01928433,2011-006041-14,2012-12-01,2012-07-17,1
NCT02054299,2012-003546-33,2013-04-01,NA,NA
NCT00865969,2008-005843-40,2008-12-01,2008-10-07,1
NCT01657305,2012-000777-23,2012-08-01,2012-04-11,1
NCT02261779,2012-002154-23,2014-09-01,2014-04-11,1
NCT01203228,2005-002011-24,2004-05-01,2008-04-08,0
NCT01417949,2010-022413-26,2011-08-01,2011-04-20,1
NCT01209208,2008-005994-36,2010-05-01,2009-11-04,1
NCT00973609,2008-007974-39,2009-08-01,2009-03-26,1
NCT00635596,2007-004437-42,2008-03-01,NA,NA
NCT02309918,2013-001081-42,2014-11-01,2014-07-29,1
NCT01861951,2011-004168-30,2012-10-01,2012-06-04,1
NCT01731158,2011-005939-78,2012-10-01,2012-03-01,1
NCT01694849,2012-000295-42,2012-09-01,2012-08-16,1
NCT01534702,2010-021719-18,2012-01-01,2011-10-05,1
NCT01475669,2011-002685-20,2012-01-01,2011-08-09,1
NCT01320254,2010-018850-11,2011-06-01,2010-12-22,1
NCT01242631,2009-014383-18,2010-11-01,2010-07-13,1
NCT00932971,2008-005560-13,2009-06-01,2009-06-05,0
NCT01498835,2007-002864-87,2012-02-01,NA,NA
NCT01019434,2008-003003-31,2009-10-01,2009-07-02,1
NCT00928915,2008-005653-37,2009-07-01,2009-01-14,1
NCT00794326,2007-005365-35,2008-10-01,2008-05-22,1
NCT00349089,2005-004840-30,2006-09-26,2006-04-04,1
NCT01108042,2009-011902-41,2009-11-01,2009-06-22,1
NCT02655419,2015-002726-39,2016-05-19,2015-12-09,1
NCT01879839,2012-003696-18,2013-07-01,2013-03-01,1
NCT00275054,2005-003018-14,2005-10-01,2006-01-26,0
NCT01504256,2010-024111-13,2011-10-01,2011-02-01,1
NCT01534455,2010-023237-37,2012-02-01,2011-10-05,1
NCT01453179,2010-022054-16,2011-10-01,2011-05-26,1
NCT00807300,2005-000569-21,2006-10-01,NA,NA
NCT02424552,2014-002363-15,2015-06-26,2014-11-04,1
NCT01627379,2010-020606-15,2012-05-01,2011-12-02,1
NCT01228149,2010-019975-30,2010-08-01,2010-06-25,1
NCT00974155,2008-008280-96,2009-09-01,2009-07-14,1
NCT01736436,2012-003027-37,2013-01-01,NA,NA
NCT01668498,2010-022938-85,2011-05-01,2011-04-28,1
NCT01257360,2009-016782-28,2010-12-01,2010-06-11,1
NCT02307396,2013-000338-37,2015-02-01,2014-09-23,1
NCT02203461,2014-000359-98,2014-07-01,NA,NA
NCT01916408,2013-001233-40,2013-08-01,NA,NA
NCT01729481,2011-005471-17,2012-07-01,2012-01-03,1
NCT01538979,2012-000442-35,2012-03-01,2012-02-21,1
NCT01521715,2011-001138-40,2012-01-24,2011-09-08,1
NCT01160419,2008-007546-56,2009-12-01,2009-08-21,1
NCT00727207,2007-005116-12,2008-05-01,2007-11-05,1
NCT00560794,2006-006520-19,2008-01-01,2007-06-19,1
NCT03323528,2016-003962-24,2017-02-01,2016-11-15,1
NCT02325440,2013-004616-21,2014-03-01,2014-02-04,1
NCT02227550,2014-002442-45,2014-12-01,2014-09-11,1
NCT02027805,2013-000068-27,2014-03-05,2013-11-20,1
NCT01520103,2011-001024-38,2012-01-01,2011-06-09,1
NCT01361334,2010-024526-37,2011-06-01,NA,NA
NCT00976222,2008-004675-22,2008-12-01,2008-09-03,1
NCT01841632,2009-017795-25,2013-04-01,NA,NA
NCT01656135,2011-004301-24,2012-12-01,2011-12-07,1
NCT01540344,2009-014040-11,2010-10-01,2010-07-01,1
NCT00355862,2005-005362-36,2006-01-01,2006-04-07,0
NCT01433523,2010-018621-19,2011-08-01,2010-05-04,1
NCT02902861,2012-002716-10,2013-02-01,2012-11-02,1
NCT01726933,2012-000055-13,2012-11-01,2012-08-24,1
NCT01074697,2009-014691-21,2010-04-01,2010-01-06,1
NCT02115516,2013-003900-38,2014-04-01,NA,NA
NCT02046915,2013-003678-29,2014-04-01,2014-01-23,1
NCT01883531,2012-002699-14,2013-06-01,2012-07-03,1
NCT01797601,2006-002244-29,2013-02-01,NA,NA
NCT01788254,2011-002291-16,2012-01-01,2012-04-23,0
